date,forecast,lo90,hi90
2026-07-06,461381.0,376851.0,555216.0
2026-07-07,548051.0,447642.0,659513.0
2026-07-08,551675.0,450603.0,663874.0
2026-07-09,541280.0,442112.0,651365.0
2026-07-10,470009.0,383899.0,565599.0
2026-07-11,332546.0,271620.0,400179.0
2026-07-12,238975.0,195192.0,287577.0
2026-07-13,447745.0,365713.0,538807.0
2026-07-14,531661.0,434256.0,639790.0
2026-07-15,535037.0,437013.0,643852.0
2026-07-16,524871.0,428710.0,631619.0
2026-07-17,455735.0,372240.0,548422.0
2026-07-18,322461.0,263383.0,388043.0
2026-07-19,231762.0,189301.0,278898.0
2026-07-20,434343.0,354767.0,522679.0
2026-07-21,515932.0,421408.0,620862.0
2026-07-22,519448.0,424280.0,625092.0
2026-07-23,509865.0,416453.0,613561.0
2026-07-24,442999.0,361837.0,533096.0
2026-07-25,313689.0,256218.0,377486.0
2026-07-26,225650.0,184309.0,271543.0
2026-07-27,423289.0,345738.0,509377.0
2026-07-28,503323.0,411109.0,605689.0
2026-07-29,507322.0,414375.0,610500.0
2026-07-30,498562.0,407220.0,599958.0
2026-07-31,433732.0,354268.0,521944.0
2026-08-01,307541.0,251196.0,370088.0
2026-08-02,221541.0,180953.0,266598.0
2026-08-03,416195.0,339944.0,500840.0
2026-08-04,495646.0,404838.0,596450.0
2026-08-05,500373.0,408699.0,602138.0
2026-08-06,492531.0,402294.0,592701.0
2026-08-07,429197.0,350563.0,516486.0
2026-08-08,304839.0,248990.0,366837.0
2026-08-09,219971.0,179670.0,264709.0
2026-08-10,413960.0,338118.0,498151.0
2026-08-11,493842.0,403365.0,594279.0
2026-08-12,499421.0,407922.0,600992.0
2026-08-13,492449.0,402227.0,592602.0
2026-08-14,429867.0,351111.0,517293.0
2026-08-15,305838.0,249805.0,368039.0
2026-08-16,221065.0,180563.0,266025.0
2026-08-17,416708.0,340363.0,501457.0
2026-08-18,497927.0,406702.0,599195.0
2026-08-19,504347.0,411946.0,606921.0
2026-08-20,498069.0,406817.0,599365.0
2026-08-21,435416.0,355643.0,523970.0
2026-08-22,310226.0,253389.0,373319.0
2026-08-23,224540.0,183402.0,270206.0
2026-08-24,423803.0,346158.0,509995.0
2026-08-25,507019.0,414128.0,610136.0
2026-08-26,514139.0,419944.0,618704.0
2026-08-27,508273.0,415153.0,611645.0
2026-08-28,444767.0,363281.0,535223.0
2026-08-29,317167.0,259059.0,381672.0
2026-08-30,229746.0,187654.0,276471.0
2026-08-31,433931.0,354430.0,522183.0
2026-09-01,519448.0,424280.0,625093.0
2026-09-02,527010.0,430457.0,634193.0
2026-09-03,521211.0,425720.0,627215.0
2026-09-04,456231.0,372645.0,549019.0
2026-09-05,325412.0,265793.0,391594.0
2026-09-06,235746.0,192555.0,283691.0
2026-09-07,221287.0,180745.0,266292.0
2026-09-08,532986.0,435338.0,641384.0
2026-09-09,540654.0,441601.0,650612.0
2026-09-10,534566.0,436628.0,643286.0
2026-09-11,467757.0,382059.0,562889.0
2026-09-12,333488.0,272389.0,401312.0
2026-09-13,241470.0,197230.0,290580.0
2026-09-14,455811.0,372301.0,548513.0
2026-09-15,545229.0,445338.0,656117.0
2026-09-16,552658.0,451405.0,665057.0
2026-09-17,545986.0,445956.0,657028.0
2026-09-18,477326.0,389875.0,574404.0
2026-09-19,339988.0,277699.0,409135.0
2026-09-20,245931.0,200874.0,295948.0
2026-09-21,463743.0,378781.0,558059.0
2026-09-22,554111.0,452592.0,666805.0
2026-09-23,561023.0,458238.0,675123.0
2026-09-24,553602.0,452177.0,666193.0
2026-09-25,483406.0,394841.0,581720.0
2026-09-26,343898.0,280893.0,413840.0
2026-09-27,248451.0,202932.0,298981.0
2026-09-28,467911.0,382185.0,563074.0
2026-09-29,558388.0,456085.0,671952.0
2026-09-30,564642.0,461194.0,679479.0
2026-10-01,556476.0,454524.0,669651.0
2026-10-02,485310.0,396397.0,584012.0
2026-10-03,344829.0,281653.0,414960.0
